,displayname,domain,params,path,tagname
id_53,Simpli.fi match_redirect,simpli.fi,,/match_redirect,Simpli.fi
id_54,Simpli.fi match_redirect,simpli.fi,,/match_redirect,Simpli.fi
id_55,Simpli.fi spotx_match,simpli.fi,,/spotx_match,Simpli.fi
id_56,Simpli.fi fb_match,simpli.fi,,/fb_match,Simpli.fi
id_57,Simpli.fi an,simpli.fi,,/an,Simpli.fi
id_58,Simpli.fi cw_match,simpli.fi,,/cw_match,Simpli.fi
id_59,Simpli.fi rb_match,simpli.fi,,/rb_match,Simpli.fi
id_6,Google expansion_embed.js,googlesyndication.com,,/pagead/js/r20160607/r20151006/expansion_embed.js,Google
id_60,Simpli.fi ox_match,simpli.fi,,/ox_match,Simpli.fi
id_61,Simpli.fi pm_match,simpli.fi,,/pm_match,Simpli.fi
id_62,Mezzobit Lm35uj,cloudfront.net,,/Lm35uj,Mezzobit
id_63,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_64,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_65,Pubmatic AdCallAggregator,pubmatic.com,,/AdServer/AdCallAggregator,Pubmatic
id_66,Pubmatic showad.js,pubmatic.com,,/AdServer/js/showad.js,Pubmatic
id_67,AOL ADTECH;cors=yes;cmd=bid;alias=450c65b998393a;grp=160;misc=1465518893234,adtechus.com,cors=yes;cmd=bid;alias=450c65b998393a;grp=160;misc=1465518893234,/pubapi/3.0/10064.1/3942638/0/0/ADTECH,AOL
id_68,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_69,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_7,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_70,AOL ADTECH;cors=yes;cmd=bid;alias=55f75908f0d528;grp=160;misc=1465518893241,adtechus.com,cors=yes;cmd=bid;alias=55f75908f0d528;grp=160;misc=1465518893241,/pubapi/3.0/10064.1/3942655/0/0/ADTECH,AOL
id_71,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_72,AOL ADTECH;cors=yes;cmd=bid;alias=6ba0583a9d99cd;grp=160;misc=1465518893245,adtechus.com,cors=yes;cmd=bid;alias=6ba0583a9d99cd;grp=160;misc=1465518893245,/pubapi/3.0/10064.1/3942640/0/0/ADTECH,AOL
id_73,AOL ADTECH;cors=yes;cmd=bid;alias=7bed9223c4a921;grp=160;misc=1465518893250,adtechus.com,cors=yes;cmd=bid;alias=7bed9223c4a921;grp=160;misc=1465518893250,/pubapi/3.0/10064.1/3942642/0/0/ADTECH,AOL
id_74,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_75,AOL ADTECH;cors=yes;cmd=bid;alias=8cbecb361c7e21;grp=160;misc=1465518893254,adtechus.com,cors=yes;cmd=bid;alias=8cbecb361c7e21;grp=160;misc=1465518893254,/pubapi/3.0/10064.1/3942644/0/0/ADTECH,AOL
id_76,AOL ADTECH;cors=yes;cmd=bid;alias=96d55554c14a35;grp=160;misc=1465518893260,adtechus.com,cors=yes;cmd=bid;alias=96d55554c14a35;grp=160;misc=1465518893260,/pubapi/3.0/10064.1/3942646/0/0/ADTECH,AOL
id_77,AOL ADTECH;cors=yes;cmd=bid;alias=10658a5c86926da;grp=160;misc=1465518893263,adtechus.com,cors=yes;cmd=bid;alias=10658a5c86926da;grp=160;misc=1465518893263,/pubapi/3.0/10064.1/3942647/0/0/ADTECH,AOL
id_78,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_79,AOL ADTECH;cors=yes;cmd=bid;alias=115e3b7491b47a7;grp=160;misc=1465518893265,adtechus.com,cors=yes;cmd=bid;alias=115e3b7491b47a7;grp=160;misc=1465518893265,/pubapi/3.0/10064.1/3942650/0/0/ADTECH,AOL
id_8,Google ca-pub-4331294777253424.js,googlesyndication.com,,/pub-config/r20160212/ca-pub-4331294777253424.js,Google
id_80,AOL ADTECH;cors=yes;cmd=bid;alias=12c367bc5efe2ea;grp=160;misc=1465518893268,adtechus.com,cors=yes;cmd=bid;alias=12c367bc5efe2ea;grp=160;misc=1465518893268,/pubapi/3.0/10064.1/3942652/0/0/ADTECH,AOL
id_81,AOL ADTECH;cors=yes;cmd=bid;alias=13cc799d4fc007f;grp=160;misc=1465518893271,adtechus.com,cors=yes;cmd=bid;alias=13cc799d4fc007f;grp=160;misc=1465518893271,/pubapi/3.0/10064.1/3942654/0/0/ADTECH,AOL
id_82,AOL ADTECH;cors=yes;cmd=bid;alias=14fb97f208c375;grp=160;misc=1465518893276,adtechus.com,cors=yes;cmd=bid;alias=14fb97f208c375;grp=160;misc=1465518893276,/pubapi/3.0/10064.1/3942637/0/0/ADTECH,AOL
id_83,AOL ADTECH;cors=yes;cmd=bid;alias=15d16194bae4152;grp=160;misc=1465518893280,adtechus.com,cors=yes;cmd=bid;alias=15d16194bae4152;grp=160;misc=1465518893280,/pubapi/3.0/10064.1/3942656/0/0/ADTECH,AOL
